word, total-reached, POS, num-definitions-considered
Peirce, 2970, n, 1
collected, 2964, n, 1
emerging, 2964, n, 1
Christmas_box, 2968, n, 1
Danaus_plexippus, 2969, n, 1
cooker, 2964, n, 1
Ustilago, 2967, n, 1
harebrained, 1, n, 1
television_show, 2965, n, 1
shut_one's_mouth, 2977, n, 1
tizzy, 2964, n, 1
cypher, 2966, n, 1
wasted, 2973, n, 1
take_root, 2966, n, 1
raw_umber, 2964, n, 1
nerveless, 2976, n, 1
Anthericum_torreyi, 3036, n, 1
Igor_Stravinsky, 2965, n, 1
Henry_Valentine_Miller, 2965, n, 1
Spanish_needles, 2966, n, 1
hackneyed, 2966, n, 1
ash, 2966, n, 1
big_science, 2964, n, 1
light_pen, 2966, n, 1
wangler, 2965, n, 1
nip_and_tuck, 2971, n, 1
myxovirus, 2968, n, 1
etiological, 2965, n, 1
slap_together, 2964, n, 1
unforced, 2965, n, 1
sarcoid, 2964, n, 1
McArdle's_disease, 2978, n, 1
sell_out, 2964, n, 1
actinal, 2964, n, 1
realine, 2964, n, 1
sanguinary, 2970, n, 1
cyprinid, 2975, n, 1
give, 2964, n, 1
tenuous, 2964, n, 1
solid, 2964, n, 1
ugly_duckling, 2964, n, 1
Richardson_ground_squirrel, 3002, n, 1
May_beetle, 2964, n, 1
syntagm, 2964, n, 1
powder_metallurgy, 2967, n, 1
genus_Gulo, 2965, n, 1
Soren_Aabye_Kierkegaard, 2978, n, 1
jejuneness, 2964, n, 1
realist, 2965, n, 1
thermograph, 2967, n, 1
convert, 2965, n, 1
cybercrime, 2978, n, 1
dutifulness, 2967, n, 1
muller, 2968, n, 1
effectiveness, 2964, n, 1
Theban, 2969, n, 1
pass, 2965, n, 1
synchroneity, 2964, n, 1
Volans, 3029, n, 1
exophthalmos, 2968, n, 1
hangbird, 2972, n, 1
Tasmanian, 2965, n, 1
drop, 2980, n, 1
Roman_mythology, 2966, n, 1
puff_of_air, 2965, n, 1
sausage, 2964, n, 1
paint_the_lily, 1, n, 1
Koch, 2974, n, 1
piano_keyboard, 2964, n, 1
futtock_shroud, 2977, n, 1
white_leather, 2973, n, 1
Bellingham, 2999, n, 1
mantle, 2966, n, 1
promotional, 2965, n, 1
pioneer, 2966, n, 1
alternative, 2964, n, 1
communisation, 2964, n, 1
Marshall, 2964, n, 1
mooring, 2965, n, 1
penetratingly, 2972, n, 1
esophageal_reflux, 2967, n, 1
hunt, 2973, n, 1
Harold_Harefoot, 2971, n, 1
cytoplastic, 2965, n, 1
Tarquin, 2970, n, 1
insolation, 2975, n, 1
Nabalus_alba, 2968, n, 1
secularisation, 2964, n, 1
cyclooxygenase, 2978, n, 1
Leucanthemum_maximum, 2969, n, 1
decimalise, 2964, n, 1
victorious, 2970, n, 1
also_known_as, 2964, n, 1
weight, 2965, n, 1
hardcover, 2965, n, 1
shivaree, 2966, n, 1
silver-white, 2964, n, 1
nullity, 2965, n, 1
phrenological, 2966, n, 1
graining, 2965, n, 1
water_table, 2964, n, 1
surveying_instrument, 2964, n, 1
telemetry, 2967, n, 1
butcher_board, 2969, n, 1
genus_Tympanuchus, 2965, n, 1
ignition, 2966, n, 1
phial, 2967, n, 1
stromateid_fish, 2964, n, 1
Nicolas_de_Malebranche, 2965, n, 1
unhelpful, 2964, n, 1
prima_donna, 2964, n, 1
freesia, 2964, n, 1
lively, 2964, n, 1
simple-minded, 2965, n, 1
Home_Secretary, 2977, n, 1
follow, 2965, n, 1
suasion, 2964, n, 1
drop, 2980, n, 1
Jocasta, 2972, n, 1
prancer, 2964, n, 1
untucked, 1, n, 1
Wiclif, 2972, n, 1
Mastotermes, 2967, n, 1
brainwashed, 2966, n, 1
despair, 2969, n, 1
hen, 2965, n, 1
depositor, 2964, n, 1
dowser, 2966, n, 1
amoralism, 2965, n, 1
Anagyris_foetida, 2964, n, 1
family_Coregonidae, 2972, n, 1
blue_channel_catfish, 2967, n, 1
currency, 2964, n, 1
departed, 2965, n, 1
perilousness, 2964, n, 1
subkingdom, 2964, n, 1
chuck-full, 2964, n, 1
Tinca, 2966, n, 1
birch, 2993, n, 1
Shahaptian, 2999, n, 1
fighting_chair, 2966, n, 1
motivating, 2965, n, 1
pillory, 2973, n, 1
equanimous, 2964, n, 1
refractiveness, 2965, n, 1
missionary, 2967, n, 1
Minoan, 2969, n, 1
cylinder_press, 2977, n, 1
Nativity, 2964, n, 1
trabeate, 2964, n, 1
esterify, 2964, n, 1
cattle_egret, 2969, n, 1
dogtooth, 2965, n, 1
Corregidor, 2977, n, 1
judicially, 2964, n, 1
cup, 2966, n, 1
Achmad_Sukarno, 2968, n, 1
rustic, 2965, n, 1
George_Herbert_Walker_Bush, 2970, n, 1
love, 2964, n, 1
cobble, 2970, n, 1
unforethoughtful, 2966, n, 1
reorder, 2965, n, 1
blanket, 2979, n, 1
Pereskia, 2964, n, 1
cachexia, 2965, n, 1
expert_witness, 2965, n, 1
tidal, 1, n, 1
rock_opera, 2966, n, 1
grueling, 2966, n, 1
synchronous, 2964, n, 1
arteria_pudenda, 2964, n, 1
VIP, 2964, n, 1
handicapper, 2967, n, 1
puppet_government, 2964, n, 1
Tiarella, 2964, n, 1
indiscreetness, 2964, n, 1
butterfly_orchid, 2968, n, 1
parka, 2965, n, 1
green_light, 2964, n, 1
neurophysiological, 2967, n, 1
interrogation, 2971, n, 1
hypnotise, 2967, n, 1
Sendero_Luminoso, 3007, n, 1
anathema, 2964, n, 1
gray_kingbird, 2967, n, 1
sleeping_draught, 2971, n, 1
along, 2964, n, 1
Sir_James_Augustus_Henry_Murray, 2984, n, 1
President_Ford, 2988, n, 1
gymnastic_exercise, 2974, n, 1
baling_wire, 2966, n, 1
challah, 2965, n, 1
bleary, 2966, n, 1
swamp_maple, 2979, n, 1
gopher_turtle, 2975, n, 1
duenna, 2965, n, 1
quat, 2969, n, 1
brownish-black, 2964, n, 1
spice, 2965, n, 1
water_chickweed, 2965, n, 1
Shetland_Islands, 2964, n, 1
dowser, 2966, n, 1
varicella, 2972, n, 1
cause_of_action, 2966, n, 1
brazier, 2965, n, 1
polyphony, 2964, n, 1
Pediculati, 2977, n, 1
fashion_model, 2965, n, 1
unwrap, 2966, n, 1
overlook, 2967, n, 1
Albert_Einstein, 2967, n, 1
nevus, 2968, n, 1
pluralist, 2969, n, 1
generous, 2964, n, 1
Hippo_Regius, 2978, n, 1
flame, 2965, n, 1
veal_parmesan, 2968, n, 1
Berycomorphi, 2969, n, 1
practised, 2964, n, 1
haricots_verts, 2984, n, 1
battle_of_Caporetto, 2964, n, 1
mishmash, 2966, n, 1
Tyndall_effect, 2965, n, 1
sour_orange, 2966, n, 1
Economic_Commission_for_Latin_America, 2965, n, 1
run, 2964, n, 1
rear, 2965, n, 1
lecanopteris, 2964, n, 1
give_thanks, 2968, n, 1
thermal, 2964, n, 1
Mirabilis_laevis, 2966, n, 1
Thamnophis_sirtalis, 2973, n, 1
New_World, 2965, n, 1
confederate, 2966, n, 1
lamentably, 2964, n, 1
phthisis, 2966, n, 1
heat_content, 2964, n, 1
Kaw_River, 2967, n, 1
canvas, 2966, n, 1
veridical, 2964, n, 1
heliolatry, 2964, n, 1
wholesomeness, 2964, n, 1
roughness, 2965, n, 1
Dialeurodes, 2965, n, 1
pump, 2970, n, 1
damnatory, 2965, n, 1
business_enterprise, 2964, n, 1
ex_libris, 2967, n, 1
Indian_madder, 2968, n, 1
champion, 2972, n, 1
